,loan_amnt,amt_difference,term,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs_cat,inq_last_6mths_cat,open_acc,pub_rec,pub_rec_cat,acc_ratio,initial_list_status,loan_status,target
207169,6750.0,less,36,214.34,A,10.0,MORTGAGE,31000.0,Verified,debt_consolidation,31.2,no,yes,10.0,0.0,no,0.416666666667,f,Fully Paid,0
207170,31825.0,eq,60,795.57,C,5.0,MORTGAGE,80000.0,Verified,debt_consolidation,26.51,no,yes,9.0,0.0,no,0.428571428571,f,Charged Off,1
207171,14825.0,eq,36,530.55,C,4.0,MORTGAGE,95000.0,Verified,credit_card,20.24,no,yes,25.0,0.0,no,0.78125,f,Fully Paid,0
207172,19000.0,eq,60,508.58,E,9.0,MORTGAGE,72000.0,Verified,credit_card,13.73,no,yes,8.0,0.0,no,0.470588235294,f,Fully Paid,0
207173,35000.0,eq,60,838.36,C,10.0,MORTGAGE,168270.0,Verified,debt_consolidation,30.41,no,yes,19.0,0.0,no,0.655172413793,f,Fully Paid,0
207176,19000.0,eq,36,661.53,C,10.0,RENT,48000.0,Not Verified,debt_consolidation,16.35,no,no,4.0,0.0,no,0.181818181818,f,Fully Paid,0
207177,14400.0,eq,36,479.12,B,5.0,MORTGAGE,65000.0,Verified,debt_consolidation,14.07,no,yes,11.0,0.0,no,0.6875,f,Fully Paid,0
207178,5375.0,eq,36,187.15,C,6.0,MORTGAGE,26000.0,Verified,debt_consolidation,23.14,no,no,8.0,0.0,no,0.126984126984,f,Charged Off,1
207179,23850.0,eq,60,628.17,D,2.0,RENT,60000.0,Verified,debt_consolidation,28.96,no,no,9.0,0.0,no,0.321428571429,f,Fully Paid,0
207180,23850.0,eq,60,615.41,D,4.0,RENT,60000.0,Verified,debt_consolidation,33.54,no,no,10.0,0.0,no,0.4,f,Charged Off,1
207181,2400.0,eq,36,82.14,B,2.0,RENT,45000.0,Not Verified,credit_card,16.77,yes,no,10.0,0.0,no,0.434782608696,f,Fully Paid,0
207182,9000.0,eq,36,309.05,C,10.0,MORTGAGE,130000.0,Verified,debt_consolidation,31.97,yes,yes,17.0,0.0,no,0.320754716981,f,Fully Paid,0
207183,16500.0,eq,60,386.76,C,6.0,RENT,60000.0,Verified,debt_consolidation,23.28,no,yes,19.0,0.0,no,0.513513513514,f,Fully Paid,0
207184,8000.0,eq,36,274.71,C,10.0,RENT,65200.0,Source Verified,wedding,14.78,no,yes,12.0,0.0,no,0.342857142857,f,Fully Paid,0
207185,2125.0,eq,36,73.99,C,1.0,RENT,31000.0,Not Verified,debt_consolidation,12.97,no,yes,7.0,0.0,no,0.538461538462,f,Fully Paid,0
207186,16425.0,less,36,579.81,C,6.0,RENT,42000.0,Verified,debt_consolidation,29.03,yes,yes,9.0,0.0,no,0.5,f,Charged Off,1
207187,22750.0,eq,36,803.09,C,8.0,RENT,58000.0,Verified,renewable_energy,6.29,no,yes,8.0,0.0,no,0.380952380952,f,Fully Paid,0
207188,1800.0,eq,36,63.55,C,10.0,RENT,76000.0,Not Verified,debt_consolidation,14.09,no,yes,12.0,0.0,no,0.631578947368,f,Fully Paid,0
207189,20675.0,eq,60,544.55,D,10.0,MORTGAGE,52000.0,Verified,small_business,15.12,no,yes,7.0,0.0,no,0.333333333333,f,Charged Off,1
207190,9950.0,eq,36,362.17,D,5.0,RENT,38000.0,Source Verified,debt_consolidation,22.17,no,no,12.0,0.0,no,0.75,f,Fully Paid,0
207191,22000.0,eq,36,755.44,C,1.0,MORTGAGE,78000.0,Verified,debt_consolidation,14.38,no,no,9.0,0.0,no,0.36,f,Fully Paid,0
207192,8000.0,eq,36,278.54,C,10.0,RENT,50000.0,Source Verified,credit_card,19.13,no,yes,14.0,0.0,no,0.5,f,Charged Off,1
207193,4000.0,eq,36,133.09,B,4.0,RENT,65000.0,Not Verified,debt_consolidation,17.94,no,yes,9.0,0.0,no,0.272727272727,f,Fully Paid,0
207194,1525.0,eq,36,47.53,A,4.0,MORTGAGE,93000.0,Not Verified,vacation,10.18,yes,no,14.0,0.0,no,0.518518518519,f,Fully Paid,0
207195,4000.0,eq,36,136.89,B,6.0,RENT,40000.0,Verified,moving,12.45,no,yes,4.0,0.0,no,0.444444444444,f,Charged Off,1
207196,8000.0,eq,36,288.3,D,4.0,OWN,70000.0,Source Verified,debt_consolidation,15.1,no,no,19.0,0.0,no,0.527777777778,f,Fully Paid,0
207197,6000.0,less,36,199.63,B,6.0,RENT,50000.0,Verified,credit_card,32.28,no,no,18.0,0.0,no,0.6,f,Fully Paid,0
207198,2000.0,eq,36,68.45,B,10.0,OWN,45000.0,Source Verified,small_business,13.79,yes,no,6.0,2.0,yes,0.545454545455,f,Fully Paid,0
207199,6000.0,eq,36,196.84,B,10.0,RENT,45000.0,Not Verified,debt_consolidation,16.13,no,no,10.0,0.0,no,0.322580645161,f,Fully Paid,0
207200,10000.0,eq,36,363.99,D,2.0,RENT,41000.0,Not Verified,debt_consolidation,26.02,no,yes,12.0,0.0,no,0.461538461538,f,Fully Paid,0
207201,24450.0,eq,36,875.0,C,10.0,OWN,62000.0,Verified,debt_consolidation,25.68,yes,yes,14.0,0.0,no,0.636363636364,f,Fully Paid,0
207202,25000.0,eq,60,641.52,D,5.0,MORTGAGE,75500.0,Verified,credit_card,19.85,no,yes,15.0,0.0,no,0.441176470588,f,Charged Off,1
207203,10000.0,eq,36,357.88,C,10.0,MORTGAGE,95000.0,Verified,debt_consolidation,12.32,no,yes,8.0,0.0,no,0.666666666667,f,Fully Paid,0
207204,27150.0,less,60,529.89,C,3.0,MORTGAGE,85000.0,Verified,debt_consolidation,20.95,no,yes,17.0,0.0,no,0.435897435897,f,Fully Paid,0
207205,12000.0,eq,36,432.45,D,10.0,MORTGAGE,92000.0,Not Verified,home_improvement,14.56,yes,yes,11.0,0.0,no,0.255813953488,f,Fully Paid,0
207208,3500.0,eq,36,119.78,B,1.0,MORTGAGE,52000.0,Verified,major_purchase,31.2,no,yes,11.0,0.0,no,0.314285714286,f,Fully Paid,0
207209,6000.0,eq,36,205.33,B,10.0,MORTGAGE,90000.0,Not Verified,debt_consolidation,14.97,no,yes,17.0,0.0,no,0.293103448276,f,Fully Paid,0
207210,21725.0,eq,60,572.21,D,1.0,RENT,55000.0,Verified,wedding,24.81,no,yes,22.0,0.0,no,0.709677419355,f,Charged Off,1
207211,5000.0,eq,36,166.36,B,5.0,RENT,90000.0,Not Verified,credit_card,6.75,no,yes,8.0,0.0,no,1.0,f,Charged Off,1
207213,8000.0,eq,36,249.3,A,4.0,MORTGAGE,73000.0,Verified,debt_consolidation,26.6,no,yes,10.0,0.0,no,0.15873015873,f,Fully Paid,0
207214,9000.0,eq,36,313.36,C,6.0,MORTGAGE,73428.0,Verified,wedding,5.56,yes,no,9.0,0.0,no,0.692307692308,f,Charged Off,1
207215,7000.0,eq,36,254.8,D,1.0,MORTGAGE,24000.0,Not Verified,debt_consolidation,18.9,yes,yes,10.0,0.0,no,0.172413793103,f,Fully Paid,0
207216,13750.0,eq,60,354.8,D,5.0,RENT,55000.0,Verified,debt_consolidation,31.2,no,yes,16.0,0.0,no,0.888888888889,f,Charged Off,1
207217,13750.0,eq,36,478.74,C,1.0,MORTGAGE,58000.0,Verified,debt_consolidation,17.54,no,no,11.0,0.0,no,0.379310344828,f,Charged Off,1
207218,10000.0,eq,36,343.39,C,6.0,RENT,50000.0,Not Verified,debt_consolidation,28.83,no,yes,9.0,0.0,no,0.473684210526,f,Charged Off,1
207219,12000.0,eq,36,423.61,C,10.0,MORTGAGE,150000.0,Source Verified,credit_card,3.21,no,yes,8.0,0.0,no,0.666666666667,f,Fully Paid,0
207220,1200.0,eq,36,42.95,C,8.0,MORTGAGE,42000.0,Not Verified,home_improvement,20.3,no,yes,13.0,0.0,no,0.481481481481,f,Charged Off,1
207221,23675.0,eq,60,633.72,E,6.0,RENT,61000.0,Verified,debt_consolidation,13.5,no,yes,11.0,0.0,no,0.611111111111,f,Fully Paid,0
207222,16000.0,eq,60,373.04,B,4.0,MORTGAGE,62000.0,Verified,debt_consolidation,17.57,no,yes,15.0,0.0,no,0.625,f,Fully Paid,0
207223,9600.0,eq,36,343.56,C,1.0,RENT,40000.0,Source Verified,credit_card,8.67,no,yes,6.0,0.0,no,0.6,f,Fully Paid,0
207224,20000.0,less,60,479.06,C,4.0,RENT,70824.0,Verified,credit_card,24.96,no,no,8.0,0.0,no,0.421052631579,f,Fully Paid,0
207225,3000.0,eq,36,92.12,A,6.0,MORTGAGE,50000.0,Source Verified,other,14.11,no,yes,9.0,0.0,no,0.428571428571,f,Fully Paid,0
207226,19075.0,eq,36,673.36,C,6.0,RENT,85000.0,Source Verified,debt_consolidation,17.8,no,yes,15.0,0.0,no,0.75,f,Fully Paid,0
207227,5000.0,eq,36,174.09,C,5.0,MORTGAGE,45000.0,Not Verified,credit_card,16.19,yes,yes,13.0,0.0,no,0.722222222222,f,Fully Paid,0
207228,1400.0,eq,36,43.63,A,1.0,RENT,48000.0,Source Verified,debt_consolidation,3.55,no,yes,5.0,0.0,no,0.833333333333,f,Fully Paid,0
207229,5000.0,eq,36,174.09,C,5.0,RENT,50000.0,Source Verified,debt_consolidation,10.63,no,no,11.0,0.0,no,0.578947368421,f,Fully Paid,0
207230,8800.0,eq,36,321.47,D,6.0,RENT,38000.0,Not Verified,debt_consolidation,8.46,no,yes,6.0,0.0,no,0.75,f,Charged Off,1
207231,4250.0,eq,36,152.1,C,4.0,MORTGAGE,50000.0,Not Verified,debt_consolidation,10.54,yes,yes,11.0,0.0,no,0.392857142857,f,Fully Paid,0
207232,5000.0,eq,36,174.09,C,3.0,MORTGAGE,65000.0,Not Verified,home_improvement,2.51,yes,no,5.0,0.0,no,0.833333333333,f,Charged Off,1
207233,3500.0,eq,36,106.53,A,6.0,MORTGAGE,40000.0,Verified,debt_consolidation,30.09,no,no,16.0,0.0,no,0.301886792453,f,Charged Off,1
207234,4800.0,eq,36,171.78,C,2.0,MORTGAGE,58500.0,Not Verified,home_improvement,21.56,yes,yes,7.0,0.0,no,0.411764705882,f,Fully Paid,0
207235,8500.0,less,36,306.32,D,5.0,OWN,32000.0,Verified,credit_card,33.38,no,yes,18.0,0.0,no,0.428571428571,f,Charged Off,1
207236,2500.0,less,36,84.37,B,4.0,RENT,43000.0,Not Verified,debt_consolidation,12.5,no,no,4.0,0.0,no,0.2,f,Fully Paid,0
207237,4000.0,eq,36,124.65,A,1.0,MORTGAGE,103000.0,Not Verified,debt_consolidation,3.71,no,yes,8.0,0.0,no,0.533333333333,f,Fully Paid,0
207238,12000.0,eq,36,423.61,C,10.0,RENT,100000.0,Source Verified,debt_consolidation,9.9,yes,yes,12.0,0.0,no,0.4,f,Fully Paid,0
207239,14400.0,eq,36,501.37,C,1.0,OWN,145000.0,Not Verified,debt_consolidation,7.59,no,yes,8.0,0.0,no,0.571428571429,f,Fully Paid,0
207241,4000.0,eq,36,127.02,A,10.0,MORTGAGE,150000.0,Not Verified,other,20.95,no,no,13.0,0.0,no,0.448275862069,f,Fully Paid,0
207242,8000.0,eq,36,274.71,C,2.0,MORTGAGE,90000.0,Not Verified,other,13.33,yes,yes,10.0,0.0,no,0.384615384615,f,Fully Paid,0
207243,3500.0,eq,36,107.47,A,9.0,MORTGAGE,38000.0,Not Verified,debt_consolidation,5.4,no,yes,10.0,0.0,no,0.357142857143,f,Fully Paid,0
207244,15000.0,less,36,545.99,D,7.0,MORTGAGE,130000.0,Verified,debt_consolidation,4.85,no,yes,4.0,0.0,no,0.285714285714,f,Fully Paid,0
207245,14000.0,eq,36,487.45,C,10.0,MORTGAGE,90000.0,Not Verified,debt_consolidation,27.86,no,no,10.0,0.0,no,0.454545454545,f,Fully Paid,0
207246,25000.0,less,36,870.44,C,1.0,MORTGAGE,120000.0,Verified,debt_consolidation,6.23,no,no,10.0,0.0,no,0.37037037037,f,Fully Paid,0
207247,15850.0,eq,36,555.68,C,10.0,RENT,63400.0,Not Verified,debt_consolidation,28.18,no,yes,13.0,0.0,no,0.41935483871,f,Fully Paid,0
207248,21000.0,eq,60,602.06,F,10.0,MORTGAGE,64000.0,Verified,debt_consolidation,14.46,no,no,3.0,0.0,no,0.3,f,Fully Paid,0
207249,10000.0,less,36,332.72,B,1.0,MORTGAGE,88000.0,Verified,debt_consolidation,26.29,no,no,15.0,0.0,no,0.428571428571,f,Charged Off,1
207250,17000.0,eq,36,600.11,C,8.0,MORTGAGE,80000.0,Source Verified,debt_consolidation,16.5,no,yes,11.0,0.0,no,0.392857142857,f,Fully Paid,0
207251,26000.0,eq,60,684.8,D,5.0,MORTGAGE,188000.0,Source Verified,debt_consolidation,9.79,no,yes,14.0,0.0,no,0.378378378378,f,Fully Paid,0
207252,1000.0,eq,36,30.44,A,10.0,RENT,39000.0,Not Verified,debt_consolidation,11.6,no,no,8.0,0.0,no,0.571428571429,f,Fully Paid,0
207253,3675.0,less,36,115.0,A,9.0,MORTGAGE,38000.0,Not Verified,credit_card,22.45,no,no,7.0,0.0,no,0.7,f,Fully Paid,0
207254,25000.0,eq,36,894.69,C,5.0,RENT,109000.0,Verified,debt_consolidation,11.04,no,yes,19.0,0.0,no,0.431818181818,f,Fully Paid,0
207255,8000.0,eq,36,280.47,C,3.0,RENT,56000.0,Source Verified,credit_card,7.16,yes,yes,12.0,0.0,no,0.324324324324,f,Fully Paid,0
207256,14750.0,eq,60,329.01,B,1.0,MORTGAGE,60000.0,Source Verified,debt_consolidation,8.88,no,yes,8.0,0.0,no,0.285714285714,f,Fully Paid,0
207257,3300.0,eq,36,104.79,A,6.0,RENT,24000.0,Not Verified,debt_consolidation,27.5,no,no,9.0,0.0,no,0.818181818182,f,Fully Paid,0
207258,10000.0,eq,36,348.18,C,7.0,MORTGAGE,250000.0,Verified,debt_consolidation,13.79,yes,yes,9.0,0.0,no,0.333333333333,f,Fully Paid,0
207259,25000.0,less,36,900.93,D,3.0,MORTGAGE,90000.0,Verified,debt_consolidation,14.93,no,no,15.0,0.0,no,0.681818181818,f,Fully Paid,0
207260,11500.0,eq,36,400.4,C,1.0,OWN,35000.0,Not Verified,other,10.42,no,yes,6.0,1.0,yes,0.352941176471,f,Fully Paid,0
207261,4000.0,eq,36,125.17,A,10.0,RENT,71544.0,Not Verified,debt_consolidation,6.84,no,yes,9.0,0.0,no,0.75,f,Fully Paid,0
207262,2100.0,eq,36,71.87,B,10.0,MORTGAGE,95000.0,Verified,moving,0.32,yes,no,4.0,0.0,no,0.266666666667,f,Fully Paid,0
207263,20000.0,less,60,484.24,C,10.0,OWN,60000.0,Verified,debt_consolidation,24.69,no,yes,21.0,0.0,no,0.84,f,Charged Off,1
207264,20000.0,eq,36,701.17,C,4.0,MORTGAGE,74500.0,Verified,debt_consolidation,30.02,no,yes,16.0,0.0,no,0.432432432432,f,Fully Paid,0
207265,25450.0,eq,60,636.2,C,4.0,MORTGAGE,300000.0,Source Verified,home_improvement,5.25,no,yes,9.0,0.0,no,0.409090909091,f,Fully Paid,0
207266,1750.0,eq,36,57.41,B,4.0,MORTGAGE,53000.0,Not Verified,credit_card,15.65,yes,yes,14.0,0.0,no,0.388888888889,f,Fully Paid,0
207267,10000.0,eq,36,342.22,B,2.0,MORTGAGE,41800.0,Not Verified,credit_card,10.82,no,yes,7.0,0.0,no,0.259259259259,f,Fully Paid,0
207268,28000.0,less,60,737.48,D,10.0,MORTGAGE,130000.0,Verified,debt_consolidation,22.61,no,no,17.0,0.0,no,0.566666666667,f,Fully Paid,0
207269,1800.0,eq,36,59.89,B,6.0,RENT,15000.0,Source Verified,debt_consolidation,23.55,no,no,11.0,0.0,no,0.5,f,Fully Paid,0
207270,4900.0,eq,36,160.75,B,6.0,RENT,35400.0,Verified,credit_card,18.92,no,no,15.0,0.0,no,0.555555555556,f,Fully Paid,0
207271,10225.0,eq,36,365.93,C,1.0,RENT,60000.0,Source Verified,credit_card,5.1,no,yes,5.0,0.0,no,0.714285714286,f,Fully Paid,0
207272,9450.0,eq,36,324.5,C,5.0,RENT,28000.0,Not Verified,debt_consolidation,20.44,no,yes,18.0,0.0,no,0.45,f,Fully Paid,0
207273,9000.0,eq,36,303.73,B,2.0,RENT,42000.0,Not Verified,credit_card,10.54,no,no,6.0,0.0,no,0.666666666667,f,Fully Paid,0
207274,31825.0,less,60,860.98,E,1.0,RENT,80000.0,Verified,debt_consolidation,11.79,no,yes,8.0,0.0,no,0.363636363636,f,Charged Off,1
207275,29000.0,eq,36,1073.62,D,2.0,RENT,87500.0,Verified,major_purchase,10.79,no,yes,13.0,0.0,no,0.565217391304,f,Fully Paid,0
207276,10500.0,eq,36,360.56,C,1.0,RENT,30000.0,Source Verified,debt_consolidation,27.8,no,no,6.0,0.0,no,0.3,f,Fully Paid,0
207277,9200.0,less,60,246.26,E,4.0,MORTGAGE,50000.0,Verified,major_purchase,25.42,no,no,23.0,0.0,no,0.71875,f,Late (31-120 days),0
207278,22000.0,eq,60,571.3,D,10.0,MORTGAGE,62500.0,Verified,small_business,20.87,no,yes,6.0,0.0,no,0.206896551724,f,Fully Paid,0
207280,6000.0,eq,36,202.49,B,10.0,MORTGAGE,51000.0,Not Verified,credit_card,17.29,no,yes,9.0,0.0,no,0.36,f,Fully Paid,0
207281,5375.0,eq,36,188.44,C,4.0,RENT,20000.0,Not Verified,credit_card,12.96,no,yes,4.0,0.0,no,0.666666666667,f,Fully Paid,0
207282,4000.0,eq,36,133.09,B,10.0,RENT,68000.0,Not Verified,credit_card,18.95,no,no,5.0,0.0,no,0.357142857143,f,Fully Paid,0
207283,10000.0,eq,36,374.14,E,3.0,RENT,63000.0,Not Verified,debt_consolidation,18.75,no,yes,25.0,0.0,no,0.555555555556,f,Fully Paid,0
207284,35000.0,eq,60,1025.05,G,10.0,MORTGAGE,152000.0,Source Verified,debt_consolidation,10.85,yes,no,14.0,0.0,no,0.333333333333,f,Fully Paid,0
207285,1200.0,eq,36,40.5,B,9.0,OWN,26000.0,Source Verified,small_business,12.06,no,no,5.0,0.0,no,0.555555555556,f,Fully Paid,0
207286,4125.0,eq,36,139.21,B,5.0,MORTGAGE,26000.0,Verified,home_improvement,26.63,no,yes,12.0,0.0,no,0.8,f,Fully Paid,0
207287,15000.0,eq,36,515.08,C,2.0,RENT,57886.0,Verified,other,6.59,no,yes,6.0,0.0,no,0.857142857143,f,Fully Paid,0
207288,10800.0,eq,36,389.21,D,10.0,RENT,60000.0,Source Verified,medical,24.11,yes,yes,13.0,0.0,no,0.282608695652,f,Fully Paid,0
207289,5000.0,eq,36,168.74,B,10.0,RENT,27000.0,Not Verified,debt_consolidation,14.13,no,yes,13.0,0.0,no,0.565217391304,f,Charged Off,1
207290,17050.0,eq,36,597.75,C,4.0,RENT,43000.0,Not Verified,debt_consolidation,18.47,no,yes,16.0,0.0,no,0.761904761905,f,Fully Paid,0
207291,25000.0,eq,60,658.46,D,10.0,MORTGAGE,65000.0,Verified,debt_consolidation,20.58,no,no,9.0,0.0,no,0.2,f,Fully Paid,0
207292,15200.0,eq,36,536.57,C,10.0,MORTGAGE,65000.0,Not Verified,debt_consolidation,22.82,yes,yes,18.0,0.0,no,0.5,f,Fully Paid,0
207293,18500.0,eq,36,635.26,C,10.0,OWN,92000.0,Not Verified,debt_consolidation,13.67,no,no,14.0,0.0,no,0.48275862069,f,Fully Paid,0
207295,10000.0,eq,36,353.01,C,9.0,RENT,30000.0,Not Verified,debt_consolidation,29.88,no,yes,13.0,0.0,no,0.722222222222,f,Fully Paid,0
207296,8900.0,eq,36,323.95,D,10.0,OWN,38000.0,Source Verified,debt_consolidation,20.8,no,yes,11.0,0.0,no,0.423076923077,f,Charged Off,1
207297,9200.0,eq,36,331.55,D,8.0,MORTGAGE,100000.0,Not Verified,debt_consolidation,4.27,no,yes,8.0,0.0,no,0.666666666667,f,Fully Paid,0
207298,5375.0,eq,36,188.44,C,6.0,OWN,25676.0,Not Verified,credit_card,15.14,no,yes,4.0,0.0,no,0.333333333333,f,Fully Paid,0
207299,6000.0,eq,36,210.36,C,5.0,RENT,62000.0,Not Verified,moving,25.24,no,yes,8.0,0.0,no,0.615384615385,f,Charged Off,1
207300,16000.0,eq,36,557.08,C,3.0,MORTGAGE,125000.0,Not Verified,debt_consolidation,14.45,no,no,17.0,0.0,no,0.68,f,Fully Paid,0
207302,20000.0,eq,60,557.74,E,2.0,MORTGAGE,140000.0,Verified,debt_consolidation,9.78,no,no,9.0,0.0,no,0.6,f,Charged Off,1
